region,freq,label,time,rank
BandleCity,0.193331994850779,Master,Previous,1
Bilgewater,0.114818182891831,Master,Previous,3
Demacia,0.0923198658368075,Master,Previous,5
Freljord,0.0851865411642436,Master,Previous,6
Ionia,0.0719709942957023,Master,Previous,8
MtTargon,0.0365051433160512,Master,Previous,10
Noxus,0.151016262563037,Master,Previous,2
Piltover,0.110294899200454,Master,Previous,4
ShadowIsles,0.0623339199036293,Master,Previous,9
Shurima,0.0822221959774663,Master,Previous,7
BandleCity,0.150581431120409,Master,Current,2
Bilgewater,0.108533809142927,Master,Current,3
Demacia,0.1034393650403,Master,Current,4
Freljord,0.0942718267396788,Master,Current,6
Ionia,0.0802559527471851,Master,Current,7
MtTargon,0.036313296006891,Master,Current,10
Noxus,0.100695256260383,Master,Current,5
Piltover,0.188998954039254,Master,Current,1
ShadowIsles,0.0578477819479481,Master,Current,9
Shurima,0.0790623269550237,Master,Current,8
BandleCity,0.182461131352784,~Plat+,Previous,1
Bilgewater,0.113135278388118,~Plat+,Previous,3
Demacia,0.108160727269838,~Plat+,Previous,4
Freljord,0.0860911232870181,~Plat+,Previous,7
Ionia,0.0775823363702465,~Plat+,Previous,8
MtTargon,0.0402831361922434,~Plat+,Previous,10
Noxus,0.13760077240634,~Plat+,Previous,2
Piltover,0.0927781596544833,~Plat+,Previous,6
ShadowIsles,0.0689940837806589,~Plat+,Previous,9
Shurima,0.0929132512982704,~Plat+,Previous,5
BandleCity,0.155594265700691,~Plat+,Current,2
Bilgewater,0.10277543533525,~Plat+,Current,4
Demacia,0.118357636602015,~Plat+,Current,3
Freljord,0.0879995814380067,~Plat+,Current,6
Ionia,0.0739992982931288,~Plat+,Current,7
MtTargon,0.0343774813647583,~Plat+,Current,10
Noxus,0.0996793076492204,~Plat+,Current,5
Piltover,0.194600550285915,~Plat+,Current,1
ShadowIsles,0.0593988711136827,~Plat+,Current,9
Shurima,0.0732175722173322,~Plat+,Current,8
